# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterprise|Transit/Access
1611|CAIDA_class|Enterprise
1612|CAIDA_class|Enterprise
1613|CAIDA_class|Enterprise
1614|CAIDA_class|Enterprise
1615|CAIDA_class|Enterprise
1616|CAIDA_class|Transit/Access
1617|CAIDA_class|Enterprise
1618|CAIDA_class|Enterprise
1619|CAIDA_class|Enterprise
1620|CAIDA_class|Enterprise
1621|CAIDA_class|Enterprise
1622|CAIDA_class|Enterprise
1623|CAIDA_class|Transit/Access
1624|CAIDA_class|Enterprise
1625|CAIDA_class|Transit/Access
1628|CAIDA_class|Enterprise
1629|manual_class|Enterprise
1632|CAIDA_class|Enterprise
1633|CAIDA_class|Enterprise
1634|CAIDA_class|Transit/Access
1635|CAIDA_class|Enterprise
1636|CAIDA_class|Enterprise
1637|CAIDA_class|Transit/Access
1638|CAIDA_class|Enterprise
1640|CAIDA_class|Transit/Access
1641|CAIDA_class|Enterprise
1642|manual_class|Enterprise
1643|CAIDA_class|Transit/Access
1645|peerDB_class|Enterprise
1646|CAIDA_class|Enterprise
1647|CAIDA_class|Enterprise
1648|CAIDA_class|Transit/Access
1649|CAIDA_class|Transit/Access
1650|CAIDA_class|Transit/Access
1651|CAIDA_class|Transit/Access
1652|CAIDA_class|Enterprise
1653|CAIDA_class|Transit/Access
1654|CAIDA_class|Enterprise
1655|CAIDA_class|Transit/Access
1657|CAIDA_class|Transit/Access
1659|CAIDA_class|Transit/Access
1661|CAIDA_class|Enterprise
1663|CAIDA_class|Transit/Access
1668|peerDB_class|Transit/Access
1672|CAIDA_class|Transit/Access
1675|CAIDA_class|Transit/Access
1676|manual_class|Enterprise
1678|CAIDA_class|Enterprise
1680|peerDB_class|Transit/Access
1685|CAIDA_class|Enterprise
1689|CAIDA_class|Enterprise
1695|CAIDA_class|Enterprise
1696|CAIDA_class|Enterprise
1698|CAIDA_class|Transit/Access
1699|CAIDA_class|Transit/Access
1701|CAIDA_class|Enterprise
1702|manual_class|Enterprise
1704|CAIDA_class|Transit/Access
1705|manual_class|Enterprise
1706|CAIDA_class|Transit/Access
1708|CAIDA_class|Enterprise
1709|CAIDA_class|Enterprise
1712|CAIDA_class|Transit/Access
1715|CAIDA_class|Transit/Access
1723|CAIDA_class|Transit/Access
1725|CAIDA_class|Transit/Access
1729|CAIDA_class|Transit/Access
1730|CAIDA_class|Transit/Access
1731|CAIDA_class|Enterprise
1733|CAIDA_class|Transit/Access
1734|CAIDA_class|Transit/Access
1736|CAIDA_class|Transit/Access
1738|CAIDA_class|Enterprise
1739|CAIDA_class|Transit/Access
1741|CAIDA_class|Transit/Access
1742|CAIDA_class|Transit/Access
1746|CAIDA_class|Enterprise
1747|CAIDA_class|Enterprise
1749|CAIDA_class|Transit/Access
1751|CAIDA_class|Enterprise
1754|CAIDA_class|Transit/Access
1756|CAIDA_class|Transit/Access
1757|CAIDA_class|Content
1759|CAIDA_class|Transit/Access
1761|CAIDA_class|Transit/Access
1764|peerDB_class|Transit/Access
1766|CAIDA_class|Content
1767|CAIDA_class|Transit/Access
1770|CAIDA_class|Enterprise
1771|CAIDA_class|Transit/Access
1776|CAIDA_class|Transit/Access
1777|CAIDA_class|Enterprise
1778|CAIDA_class|Transit/Access
1781|CAIDA_class|Transit/Access
1782|CAIDA_class|Enterprise
1783|CAIDA_class|Enterprise
1785|peerDB_class|Transit/Access
1789|CAIDA_class|Transit/Access
1790|CAIDA_class|Transit/Access
1796|CAIDA_class|Enterprise
1797|CAIDA_class|Transit/Access
1798|CAIDA_class|Transit/Access
1803|CAIDA_class|Enterprise
1810|CAIDA_class|Enterprise
1811|CAIDA_class|Transit/Access
1813|CAIDA_class|Enterprise
1814|CAIDA_class|Enterprise
1815|CAIDA_class|Enterprise
1818|CAIDA_class|Transit/Access
1819|CAIDA_class|Transit/Access
1821|CAIDA_class|Enterprise
1823|CAIDA_class|Enterprise
1824|CAIDA_class|Enterprise
1825|CAIDA_class|Enterprise
1826|CAIDA_class|Transit/Access
1827|CAIDA_class|Transit/Access
1828|peerDB_class|Enterprise
1830|CAIDA_class|Transit/Access
1831|CAIDA_class|Transit/Access
1832|manual_class|Enterprise
1835|CAIDA_class|Transit/Access
1836|peerDB_class|Transit/Access
1837|CAIDA_class|Enterprise
1838|CAIDA_class|Transit/Access
1840|CAIDA_class|Transit/Access
1842|CAIDA_class|Transit/Access
1843|CAIDA_class|Transit/Access
1849|CAIDA_class|Enterprise
1850|peerDB_class|Enterprise
1851|CAIDA_class|Transit/Access
1852|CAIDA_class|Enterprise
1853|CAIDA_class|Transit/Access
1873|CAIDA_class|Enterprise
1879|CAIDA_class|Enterprise
1880|CAIDA_class|Transit/Access
1881|CAIDA_class|Transit/Access
1885|CAIDA_class|Enterprise
1886|CAIDA_class|Transit/Access
1887|CAIDA_class|Transit/Access
1888|CAIDA_class|Transit/Access
1889|manual_class|Enterprise
1898|CAIDA_class|Enterprise
1901|CAIDA_class|Transit/Access
1904|CAIDA_class|Transit/Access
1906|CAIDA_class|Transit/Access
1909|CAIDA_class|Transit/Access
1913|CAIDA_class|Transit/Access
1916|CAIDA_class|Transit/Access
1921|CAIDA_class|Enterprise
1929|CAIDA_class|Enterprise
1930|CAIDA_class|Transit/Access
1931|CAIDA_class|Transit/Access
1932|CAIDA_class|Enterprise
1935|CAIDA_class|Transit/Access
1936|CAIDA_class|Transit/Access
1938|CAIDA_class|Transit/Access
1942|CAIDA_class|Transit/Access
1945|CAIDA_class|Transit/Access
1948|CAIDA_class|Transit/Access
1955|CAIDA_class|Transit/Access
1956|CAIDA_class|Enterprise
1959|CAIDA_class|Transit/Access
1965|CAIDA_class|Enterprise
1967|CAIDA_class|Transit/Access
1968|CAIDA_class|Transit/Access
1970|CAIDA_class|Transit/Access
1972|CAIDA_class|Enterprise
1975|CAIDA_class|Enterprise
1982|peerDB_class|Transit/Access
1996|CAIDA_class|Enterprise
1998|CAIDA_class|Transit/Access
1999|CAIDA_class|Enterprise
2003|CAIDA_class|Transit/Access
2011|CAIDA_class|Enterprise
